merchant,category
COSTCO,超市日用品
CHEVRON,交通加油
STATE FARM,保险
ETSY,电商收入
ADOBE,软件订阅
OPENAI,软件订阅
USPS,电商物流
UPS,电商物流
FEDEX,电商物流
SHELL GAS,交通加油
RANDOM TEST COMPANY,其他
WIRE TYPE:WIRE OUT DATE:260421 WITHDRAWAL,转账还款
PREFERRED REWARDS-WIRE FEE WAIVER OF $15 PREFERRED,银行手续费
WIRE TYPE:WIRE IN DATE: 260417 TIME:0618 CREDIT,转账还款
AMERICAN FUNDS DES:INVESTMENT OTHER,投资
INTEREST EARNED CREDIT,利息收入
FEDERAL WITHHOLDING DEBIT,其他
ONLINE BANKING TRANSFER TO CHK 1534 TRANSFER,转账还款
PACIFIC LANDING DES:WEB PMTS ID:GYZG9 OTHER,房贷
MOBILE BANKING PAYMENT TO CRD 0683 TRANSFER,转账还款
ONLINE BANKING TRANSFER FROM CHK 1534 TRANSFER,转账还款
AGENT ASSISTED TRANSFER FROM CD 2424 TRANSFER,转账还款
PACIFIC LANDING DES:WEB PMTS ID:LH0G9 OTHER,房贷
BETTERMENT SEC DES:TRANSFER OTHER,投资
AMCAP-5A INVESTM DES:INVESTMENT OTHER,投资
ONLINE TRANSFER TO CHK 9632 CONFIRMATION# TRANSFER,转账还款
ONLINE BANKING TRANSFER FROM BRK 1W19 TRANSFER,转账还款
PACIFIC LANDING DES:WEB PMTS ID:YWRF9 OTHER,房贷
SCHWAB BROKERAGE DES:MONEYLINK OTHER,投资
ONLINE BANKING TRANSFER TO BRK 1W19 DEBIT,转账还款
AMAZON MARKETPLACE SEATTLE WA,电商进货
AMAZON RETAIL SEATTLE WA,其他
CHARGE ON PURCHASES,其他
MANUAL CR-BKRG,投资
DEPOSIT 9000026371,转账还款
05/05 ONLINE REALTIME TRANSFER TO ZHAIBOACHECKING 1534 TRANSACTION#:,转账还款
BANK OF AMERICA DES:CASHREWARD ID:ZHAI INDN:0000000634015872000000 CO ID:2002290310 PPD,其他
PMNT SENT 0409 CASH APP*LOGAN DUKES OAKLAND CA 40593660991229946729948,转账还款
TRANSFER HONGGANG ZHAI,转账还款
"ONLINE BANKING PAYMENT TO CRD 0683 CONFIRMATION# 28JLHKIRJ CONTINUED ON THE NEXT PAGE TAKE YOUR SECURITY TO THE NEXT LEVEL CHECK YOUR SECURITY METER LEVEL AND WATCH IT RISE AS YOU TAKE ACTION TO HELP PROTECT AGAINST FRAUD. SEE IT IN THE MOBILE BANKING APP AND ONLINE BANKING. TO LEARN MORE, VISIT BOFA.COM/SECURITYCENTER OR SCAN THIS CODE. WHEN YOU USE THE QRC FEATURE, CERTAIN INFORMATION IS COLLECTED FROM YOUR MOBILE DEVICE FOR BUSINESS PURPOSES. MOBILE BANKING REQUIRES THAT YOU DOWNLOAD THE MOBILE BANKING APP AND MAY NOT BE AVAILABLE FOR SELECT MOBILE DEVICES. MESSAGE AND DATA RATES MAY APPLY. PAGE 3 OF 4 HONGGANG ZHAI ! ACCOUNT # 3252 0351 1534 ! APRIL 14, 2026 TO MAY 11, 2026",转账还款
AGENT ASSISTED TRANSFER FROM CD 2424 CONFIRMATION# 0364964246,转账还款
AMCAP-5A INVESTM DES:INVESTMENT ID:000004005008452 INDN:HONGGANG ZHAI @@ CO ID:1952566717 PPD,投资
BOFA FIN CTR 04/22 #000006918 DEPOSIT 39398 LOS ALAMOS MURRIETA CA,其他
JPMORGAN CHASE DES:EXT TRNSFR ID:28936244434 INDN:HONGGANG ZHAI CO ID:9200502231 PPD,转账还款
AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,电商进货
AMAZON.COM*ED9K60M13 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*DF3631123 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*AK24D8Q73 AMZN.COM/BILLWA,电商进货
QUICKQUACK* O 0377AEA5 188-87722792 CA,其他
7-ELEVEN 46660 MURRIETA CA,餐饮
P3 LAX SMARTPARKING LOS ANGELES CA,其他
DAISO - HACIENDA HEIGH HACIENDA HEIGCA,超市日用品
AMAZON MKTPL*EW1N47DI3 AMZN.COM/BILLWA,电商进货
NIC*CRYSTAL COVE STAT LAGUNA BEACH CA,税费
SPADE SMOKE SHOP WINNETKA CA,超市日用品
WAL-MART #2952 MURRIETA CA,超市日用品
SCW-VINEYARD ROSE 951-5879463 CA,餐饮
ULTRA MOBILE 888-777-0446 CA,水电网
PORTO'S BAKERY W COVI CL WEST COVINA CA,餐饮
URTH CAFFE 006 - PASAD 213-2298925 CA,餐饮
UCR-DINING SERVICES RIVERSIDE CA,餐饮
THE HOME DEPOT #6113 MURRIETA CA,住房
AMAZON MKTPL*BE9BA3MF2 AMZN.COM/BILLWA,电商进货
AMAZON.COM*BE99M1450 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BE0ZO6VZ0 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BP1T93S82 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BP6MW42Y2 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BE4EU7H30 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BD1IZ6LO2 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BE38C19C0 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BD32C8ZF2 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BE9OP2IE0 AMZN.COM/BILLWA,电商进货
VARSITY YEARBOOK 8662873096 TX,教育
AMAZON MKTPL*BD3CP01S2 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BP1PK6QM1 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BD1EA2MA2 AMZN.COM/BILLWA,其他
AMAZON MKTPL*BP48W8Q71 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BD1DA89R2 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*BP8OL5RR1 AMZN.COM/BILLWA,电商进货
AMAZON.COM*BD7KK1U02 AMZN.COM/BILLWA,电商进货
AMAZON.COM*BP8T78S80 AMZN.COM/BILLWA,电商进货
AMAZON MKTPL*B524L3GU2 AMZN.COM/BILLWA,电商进货
EVENTIM AXS TICKETING CS 917-4268508 CA,其他
BESTBUY.COM JARED.PROM@BEMN,其他
PSI EXAMS 800-367-1565 KS,教育
CATHAY BANK 626-2793690 CA,转账还款
